vehicle_no,owner_name,contact_number,email,address,vehicle_type,rc_status,insurance_validity,challan_status,last_service_date
MH755809,Veer Chaudhari,1974618751,dugalkavya@tata.com,"31/99, Dave Ganj, Karaikudi-722105",Sedan,Valid,2025-04-02,Cleared,2025-02-21
DL023294,Ishaan Suri,06521990328,shalv58@dhingra-gole.org,"H.No. 75, Majumdar Road, Phagwara-331760",Sedan,Valid,2025-04-19,Cleared,2024-07-25
KA792548,Aarna Din,01363398036,rohandugar@yahoo.com,"59/029, Hayre Road, Avadi-384853",Van,Valid,2027-01-09,Cleared,2025-02-16
GJ153841,Gatik Mangal,+915204327987,xdugar@hotmail.com,"52/765, Badal Street, Loni 291898",Sedan,Expired,2025-04-12,Pending,2024-08-07
RJ737204,Purab Bedi,+915035607724,nsamra@ramanathan-taneja.info,"H.No. 562, Ahuja Path, Hapur-974444",SUV,Expired,2025-08-10,Cleared,2024-07-09
DL606347,Akarsh Sankar,+914352948400,divitbera@yahoo.com,"94/049, Mane Road, Hosur 113748",Truck,Expired,2026-11-03,Pending,2025-03-12
KA573230,Mamooty Bahri,08063011826,hlad@hotmail.com,"019, Iyengar, Thanjavur 746055",Van,Expired,2024-05-21,Cleared,2024-08-17
KA251762,Devansh Thaker,7971190258,dugarnitya@hotmail.com,"59, Wason, Kolhapur 467192",SUV,Valid,2025-11-16,Cleared,2024-05-26
PB082158,Armaan Ranganathan,+915804119723,wasonanahi@yahoo.com,"70, Trivedi Circle, Nashik-622985",Truck,Valid,2024-12-04,Cleared,2024-10-31
KA544823,Ojas Arya,08370960591,iyengarmohanlal@tara-dhillon.com,"H.No. 373, Saran Circle, Ambattur 163230",Sedan,Valid,2024-11-02,Cleared,2025-02-23
HR832474,Alisha Thakkar,06440079102,rashajhaveri@yahoo.com,"H.No. 11, Sha Road, Bhusawal-629208",Van,Expired,2027-03-30,Cleared,2024-12-10
WB782597,Lagan Bahl,1110317210,kartikchhabra@gmail.com,"H.No. 102, Bera Nagar, Aligarh 281385",Van,Valid,2027-01-18,Pending,2025-04-07
TN518069,Ishaan Apte,09113202776,wcontractor@chaudhari.com,"H.No. 083, Dalal Marg, Jamshedpur 392800",Bike,Valid,2025-12-17,Cleared,2024-08-28
TN607115,Bhavin Varma,+912307051698,kairamangat@sabharwal.com,"78/465, Deol Circle, Rajpur Sonarpur 970812",Van,Valid,2024-03-21,Cleared,2024-08-15
KA283506,Nakul Buch,00414759230,soodzoya@yahoo.com,"75/79, Johal Ganj, Thane 322977",Hatchback,Valid,2024-01-16,Pending,2024-05-27
HR546131,Keya Salvi,7846536474,tailornitya@bhandari.net,"57/718, Comar Chowk, Nashik 603279",Van,Expired,2026-09-30,Cleared,2025-03-12
PB835915,Seher Chaudhari,09065999634,manderurvi@basu.com,"34/787, Soni Marg, Kottayam-606868",Sedan,Valid,2023-09-26,Cleared,2025-03-31
PB291199,Indranil Vaidya,+914096655239,divit33@ratti.com,"312, Yadav Nagar, Bokaro 471837",Hatchback,Valid,2026-12-02,Cleared,2025-02-04
WB099263,Reyansh Jain,03126527945,tejas66@sampath.com,"63, Jain Road, Kolhapur 859079",Truck,Valid,2025-12-17,Cleared,2025-03-13
KA036534,Tejas Mander,+914963068880,kakarurvi@sunder.com,"922, Walla Marg, Kollam 906461",SUV,Expired,2024-08-08,Pending,2024-08-01
DL657120,Dhanush Shroff,1862668015,aryalavanya@chaudhari-luthra.net,"H.No. 78, Sharma Path, Rohtak 470593",SUV,Valid,2027-03-21,Pending,2024-09-10
HR397839,Hiran Kothari,+919206812406,manjarilad@yahoo.com,"68/484, Sule Road, Kadapa 667027",Van,Expired,2024-07-28,Pending,2024-07-24
KA734121,Dishani Bala,+917822996715,manikya96@gmail.com,"85/925, Zachariah Path, Ongole-459328",Van,Expired,2025-01-10,Pending,2024-05-13
TN617103,Renee Lall,1235772177,mandalshanaya@samra-kannan.com,"23/06, Ramanathan Marg, Bhatpara-283284",SUV,Expired,2024-10-16,Cleared,2025-04-11
HR051131,Faiyaz Mander,9103256570,arnav23@kota.com,"45, Ray Circle, Kottayam-709643",SUV,Expired,2026-10-22,Pending,2024-06-14
UP031486,Himmat Borah,06632892532,hben@yahoo.com,"887, Rajagopalan Nagar, Bijapur-518140",Truck,Valid,2024-05-16,Cleared,2024-06-29
HR816713,Madhup Divan,8014146882,nrajagopal@hotmail.com,"629, Iyer Circle, Bhagalpur-167657",Bike,Valid,2026-12-01,Cleared,2024-04-18
RJ738955,Prisha Raj,3800559038,dhanukganesh@gmail.com,"H.No. 64, Contractor Ganj, Naihati-714136",Van,Valid,2026-09-11,Pending,2024-07-25
WB317939,Suhana Maharaj,00228591116,senehsaan@kannan.net,"22, Kota Marg, Bokaro-726172",Bike,Valid,2025-05-16,Cleared,2024-06-10
WB989419,Tiya Swaminathan,6633740375,prerak33@dalia.org,"77, Iyer Chowk, Uluberia-816980",SUV,Expired,2024-04-27,Pending,2024-08-22
HR592060,Biju Tandon,02211408528,nmaharaj@hotmail.com,"50/824, Ratti Marg, Rajpur Sonarpur 044349",Van,Valid,2026-03-10,Pending,2024-04-30
DL544337,Anahi Sarma,2340565513,tandondivij@hotmail.com,"H.No. 120, Khare Street, Chandrapur-120739",Truck,Valid,2024-07-21,Pending,2024-04-30
PB032760,Saksham Keer,02346660626,amira62@konda.org,"H.No. 41, Savant Circle, Haridwar 520161",Van,Valid,2026-12-14,Pending,2024-09-10
UP416938,Anvi Dhingra,04463103003,diyaramakrishnan@lala.info,"H.No. 425, Wadhwa, Bhavnagar-718704",Truck,Expired,2024-02-04,Pending,2025-01-28
GJ085405,Emir De,0866193000,riya75@gmail.com,"H.No. 276, Dada Nagar, Fatehpur-221260",Hatchback,Valid,2025-02-27,Cleared,2024-07-25
MH627274,Urvi Shukla,3104502012,aniruddh13@hotmail.com,"93/11, Gaba Circle, Nagpur 529722",Sedan,Expired,2025-10-18,Cleared,2025-02-27
KA306547,Raghav Bahri,+917729952790,chiragkalla@yahoo.com,"H.No. 092, Dewan Zila, Ranchi 520542",SUV,Valid,2023-04-30,Cleared,2024-12-27
RJ575316,Aaryahi Bumb,2154757180,hborah@manne-biswas.com,"018, Sem Ganj, Naihati-082109",Bike,Expired,2026-07-30,Pending,2024-07-31
WB843827,Lagan Sankar,0667714133,gatik56@chowdhury-jani.com,"07, Rege Street, Firozabad-635580",Sedan,Expired,2024-09-26,Pending,2024-06-18
GJ955665,Yasmin Trivedi,6453216811,qmangal@yahoo.com,"781, Bose Path, Kozhikode-429715",Sedan,Expired,2024-04-26,Cleared,2024-08-30
PB231751,Rati Dar,6456133489,ysehgal@walla.com,"56/30, Divan, Ozhukarai 766408",Truck,Valid,2027-04-03,Cleared,2025-03-23
KA536540,Neysa Cheema,6782339127,prerak38@gmail.com,"H.No. 43, Vohra Marg, Navi Mumbai-659823",Sedan,Expired,2025-02-11,Cleared,2024-06-08
UP235124,Ishita Garde,2561369922,madhup97@gmail.com,"59/63, Ram Road, Salem 978243",Hatchback,Expired,2025-05-30,Cleared,2024-08-05
HR821180,Jivika Tank,6385924667,ochada@yahoo.com,"87/95, Ben Path, Jehanabad-934959",Bike,Expired,2024-10-22,Cleared,2024-06-29
MH439204,Vivaan Dixit,5638509146,divitkant@gmail.com,"60/287, Ray Chowk, Kottayam 166830",Bike,Valid,2023-09-02,Pending,2024-12-19
UP339933,Bhavin Khosla,08758451712,bassikanav@hotmail.com,"702, Samra Path, Durgapur-847778",Truck,Expired,2024-03-04,Cleared,2024-05-15
PB042991,Rhea Shroff,+917842901542,eshanibora@hotmail.com,"11, Bedi, Loni-652927",Van,Valid,2026-12-16,Pending,2024-07-27
